iter	Passed	Remaining
0	1	1559
1	3	1786
2	5	1988
3	7	1782
4	8	1702
5	9	1640
6	11	1578
7	12	1554
8	14	1580
9	15	1538
10	17	1584
11	19	1616
12	20	1590
13	22	1568
14	27	1784
15	28	1767
16	30	1744
17	31	1726
18	32	1688
19	33	1659
20	35	1633
21	36	1617
22	38	1632
23	40	1638
24	41	1620
25	42	1603
26	44	1602
27	45	1584
28	46	1565
29	47	1544
30	48	1524
31	49	1507
32	50	1493
33	51	1476
34	54	1514
35	56	1500
36	57	1484
37	59	1504
38	60	1490
39	61	1474
40	62	1459
41	63	1446
42	64	1433
43	65	1421
44	66	1410
45	67	1407
46	69	1417
47	71	1417
48	72	1411
49	73	1405
50	74	1394
51	75	1384
52	76	1374
53	77	1365
54	79	1358
55	80	1361
56	81	1355
57	83	1357
58	85	1368
59	87	1368
60	88	1362
61	89	1356
62	91	1356
63	93	1370
64	95	1370
65	96	1364
66	97	1363
67	101	1385
68	102	1382
69	104	1382
70	105	1381
71	106	1373
72	107	1366
73	108	1362
74	110	1358
75	111	1351
76	112	1351
77	116	1380
78	118	1380
79	119	1376
80	120	1369
81	121	1363
82	122	1351
83	123	1344
84	124	1338
85	125	1331
86	126	1332
87	129	1338
88	130	1336
89	131	1334
90	133	1333
91	134	1327
92	135	1322
93	136	1316
94	137	1309
95	138	1304
96	139	1298
97	140	1292
98	142	1296
99	144	1300
100	145	1296
101	146	1293
102	147	1288
103	149	1283
104	149	1278
105	150	1273
106	152	1268
107	152	1263
108	154	1258
109	155	1254
110	156	1254
111	158	1255
112	159	1254
113	161	1251
114	162	1249
115	166	1269
116	167	1267
117	170	1275
118	172	1276
119	174	1278
120	175	1275
121	176	1270
122	178	1270
123	179	1269
124	180	1266
125	182	1264
126	183	1260
127	184	1255
128	185	1251
129	187	1253
130	189	1254
131	190	1250
132	191	1246
133	192	1241
134	193	1238
135	194	1234
136	195	1229
137	196	1226
138	197	1222
139	198	1218
140	199	1214
141	200	1208
142	201	1206
143	203	1206
144	204	1204
145	205	1200
146	206	1196
147	207	1192
148	208	1189
149	209	1185
150	210	1181
151	211	1181
152	212	1178
153	214	1176
154	215	1172
155	216	1172
156	218	1171
157	219	1167
158	220	1164
159	221	1161
160	221	1156
161	222	1153
162	224	1150
163	225	1148
164	226	1145
165	227	1142
166	228	1138
167	229	1135
168	230	1132
169	231	1132
170	233	1130
171	234	1128
172	235	1124
173	236	1121
174	237	1118
175	238	1115
176	239	1114
177	240	1111
178	241	1108
179	242	1105
180	243	1102
181	244	1099
182	245	1098
183	247	1097
184	248	1095
185	249	1092
186	250	1089
187	251	1086
188	252	1083
189	253	1082
190	254	1080
191	256	1077
192	257	1075
193	258	1072
194	259	1069
195	259	1066
196	261	1067
197	263	1065
198	264	1063
199	265	1060
200	266	1057
201	267	1054
202	268	1053
203	269	1052
204	270	1050
205	272	1048
206	273	1046
207	274	1044
208	275	1044
209	277	1043
210	278	1043
211	280	1041
212	281	1039
213	283	1040
214	284	1040
215	286	1038
216	287	1038
217	288	1035
218	290	1035
219	291	1034
220	293	1035
221	294	1033
222	297	1035
223	298	1035
224	300	1035
225	302	1034
226	303	1034
227	305	1034
228	306	1032
229	308	1031
230	311	1036
231	312	1035
232	313	1033
233	314	1030
234	315	1028
235	316	1025
236	317	1023
237	318	1020
238	320	1019
239	321	1017
240	322	1016
241	324	1015
242	325	1014
243	326	1012
244	327	1009
245	328	1007
246	329	1004
247	330	1002
248	331	999
249	332	997
250	333	995
251	334	992
252	336	992
253	337	990
254	338	989
255	339	987
256	340	984
257	341	982
258	342	980
259	343	977
260	344	975
261	345	973
262	346	971
263	347	969
264	348	967
265	350	965
266	352	967
267	353	965
268	355	964
269	356	964
270	358	963
271	359	961
272	360	959
273	361	956
274	362	954
275	363	952
276	364	950
277	366	951
278	367	949
279	368	948
280	370	947
281	371	946
282	372	944
283	373	942
284	374	939
285	375	937
286	376	935
287	377	933
288	378	931
289	381	933
290	382	931
291	383	929
292	384	927
293	385	925
294	386	923
295	387	921
296	388	919
297	389	917
298	390	915
299	391	913
300	392	911
301	395	914
302	396	913
303	397	911
304	398	909
305	400	907
306	401	905
307	402	903
308	403	901
309	404	899
310	405	897
311	405	895
312	406	893
313	408	892
314	409	890
315	411	890
316	412	888
317	413	886
318	414	884
319	415	882
320	416	880
321	417	878
322	418	876
323	419	874
324	420	872
325	422	873
326	424	872
327	425	872
328	426	870
329	427	868
330	428	866
331	429	864
332	430	862
333	431	860
334	432	858
335	433	857
336	434	855
337	435	853
338	437	852
339	438	850
340	439	849
341	440	848
342	441	846
343	442	844
344	443	842
345	444	840
346	445	838
347	446	837
348	447	835
349	448	833
350	450	832
351	451	830
352	451	828
353	453	826
354	454	825
355	456	824
356	457	823
357	460	826
358	461	824
359	463	823
360	463	821
361	464	819
362	465	817
363	466	815
364	468	814
365	469	813
366	471	813
367	473	812
368	474	810
369	475	808
370	476	807
371	477	806
372	478	804
373	479	803
374	480	801
375	481	799
376	482	797
377	484	796
378	485	795
379	486	794
380	488	793
381	489	791
382	490	790
383	491	789
384	492	787
385	493	785
386	494	783
387	495	781
388	496	780
389	497	778
390	499	778
391	500	776
392	501	775
393	502	773
394	504	772
395	505	770
396	506	768
397	507	767
398	508	765
399	509	763
400	510	762
401	511	760
402	512	758
403	513	758
404	515	757
405	516	755
406	517	753
407	518	752
408	519	750
409	520	749
410	521	747
411	522	745
412	523	744
413	524	742
414	525	740
415	526	739
416	527	737
417	529	737
418	530	735
419	531	734
420	533	733
421	534	731
422	535	729
423	536	728
424	537	726
425	538	725
426	539	723
427	539	721
428	541	720
429	541	718
430	543	718
431	545	717
432	546	716
433	547	714
434	548	712
435	549	711
436	550	709
437	551	707
438	552	706
439	553	704
440	554	703
441	555	701
442	556	699
443	558	698
444	561	699
445	562	698
446	564	697
447	565	697
448	566	695
449	567	693
450	568	692
451	570	691
452	620	748
453	621	747
454	624	747
455	626	747
456	627	746
457	629	744
458	630	743
459	632	742
460	634	741
461	635	740
462	637	738
463	641	740
464	642	739
465	644	738
466	645	736
467	647	735
468	650	736
469	651	734
470	653	734
471	666	745
472	668	744
473	670	743
474	672	743
475	673	741
476	675	740
477	676	739
478	678	738
479	680	736
480	681	735
481	683	734
482	686	735
483	688	733
484	689	732
485	691	731
486	693	730
487	694	728
488	696	727
489	697	726
490	703	729
491	705	728
492	708	728
493	709	726
494	711	725
495	712	723
496	716	724
497	717	723
498	719	721
499	720	720
500	723	720
501	724	718
502	726	717
503	727	716
504	732	718
505	734	716
506	735	715
507	737	714
508	738	712
509	740	711
510	741	709
511	786	749
512	787	747
513	788	745
514	790	744
515	791	742
516	794	742
517	798	743
518	801	742
519	802	741
520	804	739
521	805	737
522	806	735
523	808	734
524	813	735
525	816	735
526	821	737
527	823	736
528	826	735
529	828	734
530	832	735
531	833	733
532	835	731
533	836	730
534	837	728
535	839	726
536	843	726
537	844	725
538	845	723
539	847	721
540	848	720
541	850	718
542	851	716
543	852	714
544	853	712
545	854	710
546	856	709
547	857	707
548	858	705
549	860	703
550	861	702
551	863	700
552	864	698
553	865	696
554	866	694
555	867	692
556	873	694
557	875	693
558	876	691
559	877	689
560	878	687
561	879	685
562	880	683
563	881	681
564	882	679
565	883	677
566	885	675
567	888	676
568	890	674
569	891	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	897	660
576	898	658
577	899	656
578	900	654
579	902	653
580	903	651
581	904	649
582	905	647
583	906	645
584	907	643
585	908	641
586	910	640
587	911	638
588	912	636
589	913	635
590	914	633
591	916	631
592	917	629
593	918	627
594	921	627
595	922	625
596	924	623
597	925	621
598	926	620
599	927	618
600	928	616
601	929	614
602	930	612
603	931	610
604	933	609
605	935	608
606	937	606
607	938	605
608	940	603
609	940	601
610	941	599
611	943	598
612	944	596
613	946	594
614	947	593
615	948	591
616	949	589
617	951	587
618	953	586
619	954	584
620	955	583
621	956	581
622	957	579
623	958	577
624	959	575
625	961	574
626	963	572
627	964	571
628	966	569
629	967	568
630	968	566
631	969	564
632	970	562
633	971	560
634	972	558
635	973	557
636	974	555
637	976	553
638	977	552
639	978	550
640	980	549
641	982	547
642	983	545
643	984	543
644	985	542
645	986	540
646	987	538
647	988	536
648	989	534
649	990	533
650	992	531
651	993	530
652	994	528
653	995	526
654	996	524
655	997	523
656	998	521
657	999	519
658	1000	517
659	1001	516
660	1003	514
661	1004	512
662	1005	511
663	1007	509
664	1009	508
665	1011	507
666	1012	505
667	1013	503
668	1014	501
669	1015	500
670	1016	498
671	1017	496
672	1018	494
673	1019	493
674	1021	491
675	1022	490
676	1024	488
677	1025	487
678	1026	485
679	1027	483
680	1028	481
681	1029	480
682	1030	478
683	1031	476
684	1032	475
685	1034	473
686	1038	472
687	1039	471
688	1040	469
689	1041	467
690	1042	465
691	1042	464
692	1044	462
693	1045	460
694	1046	459
695	1047	457
696	1048	455
697	1050	454
698	1052	453
699	1053	451
700	1055	450
701	1056	448
702	1057	446
703	1059	445
704	1060	443
705	1061	441
706	1062	440
707	1064	438
708	1066	437
709	1067	436
710	1068	434
711	1071	433
712	1072	431
713	1073	429
714	1074	428
715	1075	426
716	1076	424
717	1077	423
718	1078	421
719	1080	420
720	1081	418
721	1083	417
722	1084	415
723	1085	413
724	1086	411
725	1087	410
726	1088	408
727	1089	407
728	1090	405
729	1092	403
730	1093	402
731	1094	400
732	1096	399
733	1097	397
734	1098	396
735	1099	394
736	1100	392
737	1101	391
738	1102	389
739	1103	387
740	1104	386
741	1105	384
742	1106	382
743	1107	381
744	1108	379
745	1110	378
746	1111	376
747	1112	374
748	1113	373
749	1114	371
750	1115	369
751	1116	368
752	1118	366
753	1119	365
754	1121	363
755	1122	362
756	1125	361
757	1126	359
758	1128	358
759	1129	356
760	1130	354
761	1131	353
762	1133	351
763	1134	350
764	1135	348
765	1136	347
766	1137	345
767	1138	344
768	1140	342
769	1141	341
770	1142	339
771	1144	337
772	1146	336
773	1147	334
774	1148	333
775	1149	331
776	1150	330
777	1151	328
778	1152	326
779	1153	325
780	1154	323
781	1156	322
782	1157	320
783	1158	319
784	1159	317
785	1160	316
786	1161	314
787	1162	312
788	1163	311
789	1164	309
790	1165	308
791	1166	306
792	1167	304
793	1168	303
794	1170	301
795	1171	300
796	1172	298
797	1174	297
798	1175	295
799	1176	294
800	1178	292
801	1179	291
802	1180	289
803	1181	287
804	1181	286
805	1182	284
806	1184	283
807	1186	281
808	1187	280
809	1189	279
810	1190	277
811	1191	275
812	1192	274
813	1194	272
814	1195	271
815	1196	269
816	1197	268
817	1198	266
818	1199	265
819	1201	263
820	1202	262
821	1204	260
822	1205	259
823	1206	257
824	1207	256
825	1208	254
826	1209	252
827	1210	251
828	1211	249
829	1212	248
830	1213	246
831	1214	245
832	1216	243
833	1219	242
834	1220	241
835	1221	239
836	1222	238
837	1223	236
838	1224	234
839	1225	233
840	1226	231
841	1227	230
842	1228	228
843	1230	227
844	1231	225
845	1232	224
846	1234	222
847	1235	221
848	1236	219
849	1237	218
850	1238	216
851	1239	215
852	1240	213
853	1241	212
854	1242	210
855	1249	210
856	1250	208
857	1251	207
858	1252	205
859	1253	204
860	1254	202
861	1255	201
862	1256	199
863	1257	197
864	1260	196
865	1261	195
866	1263	193
867	1264	192
868	1266	190
869	1267	189
870	1269	187
871	1270	186
872	1271	184
873	1272	183
874	1273	181
875	1275	180
876	1276	179
877	1277	177
878	1278	176
879	1279	174
880	1280	172
881	1281	171
882	1282	169
883	1283	168
884	1284	166
885	1285	165
886	1286	163
887	1289	162
888	1291	161
889	1292	159
890	1293	158
891	1294	156
892	1295	155
893	1296	153
894	1297	152
895	1298	150
896	1299	149
897	1300	147
898	1301	146
899	1302	144
900	1303	143
901	1305	141
902	1306	140
903	1307	138
904	1308	137
905	1309	135
906	1310	134
907	1311	132
908	1312	131
909	1313	129
910	1314	128
911	1315	126
912	1316	125
913	1317	123
914	1319	122
915	1320	121
916	1321	119
917	1322	118
918	1323	116
919	1324	115
920	1325	113
921	1326	112
922	1327	110
923	1328	109
924	1330	107
925	1331	106
926	1332	104
927	1333	103
928	1335	102
929	1336	100
930	1337	99
931	1338	97
932	1340	96
933	1341	94
934	1342	93
935	1344	91
936	1346	90
937	1347	89
938	1348	87
939	1350	86
940	1351	84
941	1352	83
942	1353	81
943	1354	80
944	1355	78
945	1356	77
946	1357	75
947	1358	74
948	1359	73
949	1360	71
950	1361	70
951	1363	68
952	1364	67
953	1365	65
954	1368	64
955	1369	63
956	1370	61
957	1371	60
958	1372	58
959	1373	57
960	1374	55
961	1375	54
962	1376	52
963	1377	51
964	1379	50
965	1380	48
966	1381	47
967	1382	45
968	1383	44
969	1384	42
970	1386	41
971	1387	39
972	1388	38
973	1389	37
974	1390	35
975	1391	34
976	1393	32
977	1394	31
978	1395	29
979	1396	28
980	1397	27
981	1398	25
982	1400	24
983	1401	22
984	1403	21
985	1404	19
986	1405	18
987	1406	17
988	1408	15
989	1409	14
990	1410	12
991	1412	11
992	1413	9
993	1414	8
994	1415	7
995	1416	5
996	1417	4
997	1418	2
998	1419	1
999	1420	0
