iter	Passed	Remaining
0	2	205
1	3	177
2	5	170
3	6	151
4	7	149
5	9	143
6	10	139
7	11	134
8	12	129
9	14	129
10	15	125
11	17	125
12	18	122
13	19	118
14	20	114
15	21	110
16	22	107
17	23	105
18	24	102
19	25	100
20	26	98
21	27	96
22	28	94
23	29	92
24	30	90
25	31	88
26	31	86
27	32	84
28	34	83
29	35	81
30	35	80
31	36	78
32	37	77
33	38	75
34	39	74
35	40	72
36	42	72
37	43	71
38	45	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	48
56	63	47
57	64	46
58	64	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	16
84	90	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
